Date,sales
2016-03-01,3478.0
2016-03-02,3572.0
2016-03-03,3750.0
2016-03-04,3990.0
2016-03-05,4998.0
2016-03-06,5056.0
2016-03-07,3830.0
2016-03-08,3342.0
2016-03-09,3354.0
2016-03-10,3390.0
2016-03-11,3814.0
2016-03-12,4716.0
2016-03-13,4764.0
2016-03-14,3650.0
2016-03-15,3238.0
2016-03-16,3182.0
2016-03-17,2918.0
2016-03-18,3862.0
2016-03-19,4794.0
2016-03-20,5038.0
2016-03-21,3594.0
2016-03-22,3110.0
2016-03-23,3006.0
2016-03-24,2728.0
2016-03-25,3314.0
2016-03-26,4580.0
2016-03-27,4344.0
2016-03-28,3366.0
2016-03-29,2910.0
2016-03-30,3036.0
2016-03-31,3254.0
