Date,sales
2016-03-01,2757.83
2016-03-02,2770.28
2016-03-03,3136.07
2016-03-04,3462.11
2016-03-05,4461.4
2016-03-06,5081.28
2016-03-07,3539.04
2016-03-08,3120.6
2016-03-09,3146.56
2016-03-10,3023.87
2016-03-11,3675.36
2016-03-12,4550.08
2016-03-13,4578.66
2016-03-14,3155.91
2016-03-15,2616.8
2016-03-16,2925.32
2016-03-17,2716.32
2016-03-18,3272.75
2016-03-19,4496.54
2016-03-20,5420.99
2016-03-21,2995.29
2016-03-22,2692.14
2016-03-23,2418.38
2016-03-24,2950.12
2016-03-25,3145.87
2016-03-26,4318.03
2016-03-27,4739.45
2016-03-28,3127.61
2016-03-29,2482.17
2016-03-30,2564.18
2016-03-31,2966.75
