Date,sales
2016-03-01,2466.84
2016-03-02,2446.71
2016-03-03,2463.96
2016-03-04,2891.01
2016-03-05,3851.86
2016-03-06,3903.15
2016-03-07,2689.65
2016-03-08,2465.52
2016-03-09,2445.82
2016-03-10,2463.73
2016-03-11,2743.53
2016-03-12,3408.28
2016-03-13,3838.71
2016-03-14,2516.41
2016-03-15,2229.31
2016-03-16,2177.24
2016-03-17,2107.33
2016-03-18,2743.53
2016-03-19,3548.82
2016-03-20,3766.07
2016-03-21,2488.52
2016-03-22,2192.55
2016-03-23,2113.21
2016-03-24,2254.91
2016-03-25,2710.4
2016-03-26,3403.17
2016-03-27,3459.78
2016-03-28,2512.1
2016-03-29,2229.31
2016-03-30,2177.24
2016-03-31,2132.08
