Date,sales
2016-03-01,475.25
2016-03-02,456.1308333333334
2016-03-03,444.6575
2016-03-04,525.0066666666667
2016-03-05,558.14
2016-03-06,476.87
2016-03-07,452.9735
2016-03-08,444.84014285714295
2016-03-09,540.9725
2016-03-10,489.1
2016-03-11,452.79
2016-03-12,521.19
2016-03-13,477.22
2016-03-14,426.765
2016-03-15,463.615
2016-03-16,470.075
2016-03-17,425.70666666666665
2016-03-18,429.71
2016-03-19,521.19
2016-03-20,477.22
2016-03-21,426.765
2016-03-22,463.615
2016-03-23,470.075
2016-03-24,393.96
2016-03-25,429.71
2016-03-26,521.19
2016-03-27,492.27
2016-03-28,426.765
2016-03-29,463.615
2016-03-30,470.075
2016-03-31,437.15666666666664
