Date,sales
2016-03-01,797.68
2016-03-02,800.23
2016-03-03,791.54
2016-03-04,866.64
2016-03-05,1220.22
2016-03-06,1313.16
2016-03-07,916.69
2016-03-08,728.68
2016-03-09,753.36
2016-03-10,748.3
2016-03-11,846.02
2016-03-12,1226.36
2016-03-13,1350.6
2016-03-14,896.33
2016-03-15,707.91
2016-03-16,750.63
2016-03-17,741.8
2016-03-18,838.78
2016-03-19,1226.36
2016-03-20,1350.6
2016-03-21,896.33
2016-03-22,707.91
2016-03-23,750.63
2016-03-24,744.63
2016-03-25,838.78
2016-03-26,1234.1
2016-03-27,1013.13
2016-03-28,898.92
2016-03-29,716.41
2016-03-30,760.8
2016-03-31,749.73
